geohash6,day,timestamp,demand
qp0dh0,1,1:0,0.03335776105748925
qp09d9,1,1:0,0.6852518308513059
qp0974,1,1:0,0.0016413657049751318
qp09dt,1,1:0,0.026852513236661
qp03zv,1,1:0,0.3259240857729852
qp03qu,1,1:0,0.07341282019723824
qp090x,1,1:0,0.01955402388123301
qp09u0,1,1:0,0.08931063576232838
qp03wr,1,1:0,0.051984397258364484
qp093c,1,1:0,0.011507153633284148
qp03rh,1,1:0,0.055247503838934515
qp09cv,1,1:0,0.03806793294521962
qp096m,1,1:0,0.027460205512736584
qp09be,1,1:0,0.012698573448909588
qp03ty,1,1:0,0.006723067021103561
qp03yv,1,1:0,0.0002857096027195258
qp09hn,1,1:0,0.008163037980425272
qp099u,1,1:0,0.03713564776660396
qp03xx,1,1:0,0.376079032407733
qp09eu,1,1:0,0.025086024382222943
qp03pq,1,1:0,0.007423163238734502
qp09k2,1,1:0,0.022946115679423708
qp03t3,1,1:0,0.002795433870670514
qp09kw,1,1:0,0.010703824847556557
qp09kz,1,1:0,0.17808552514867748
qp096s,1,1:0,0.042486234420204536
qp02zf,1,1:0,0.006503498651786306
qp09u8,1,1:0,0.028484361867312964
qp09e9,1,1:0,0.07479782994841089
qp09e6,1,1:0,0.008365672997626875
qp094p,1,1:0,0.04157306951126001
qp03pb,1,1:0,0.013574600761179736
qp06pb,1,1:0,0.08354892542514862
qp09ev,1,1:0,0.026996790930117448
qp03r5,1,1:0,0.03879645996858073
qp09b0,1,1:0,0.07243990093213162
qp098d,1,1:0,0.08979609707348851
qp09k1,1,1:0,0.02138684101561384
qp0924,1,1:0,0.06815377700437526
qp095x,1,1:0,0.015586164316875253
qp03yg,1,1:0,0.2054312090628167
qp03t2,1,1:0,0.0013590450944063982
qp03my,1,1:0,0.07379362278726015
qp0d1d,1,1:0,0.008417493040772573
qp03m2,1,1:0,0.010522323148030812
qp03zm,1,1:0,0.006910474132487759
qp096c,1,1:0,0.04464841814579952
qp03q9,1,1:0,0.0771763494028859
qp03wz,1,1:0,0.3994003501437712
qp09vr,1,1:0,0.010549499549814509
qp090s,1,1:0,0.08087326730282952
qp03t6,1,1:0,0.018213298358729323
qp092s,1,1:0,0.04301327355685063
qp03m8,1,1:0,0.006330301108980822
